New_ID,STUDID,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Difficulty Level,Course Recommended,Course Rating,field of interest
149,49,HTML Programming,Saudi Arabia,Sharjah Indian school,Male,10,online,24,2,Python,1,GAME DEVELOPMENT
150,50,STEM Sr,India,Cambridge International School,Male,10,hybrid,48,3,Graphics Designing,5,GAME DEVELOPMENT
151,50,French Language Course,Kuwait,direct call,Female,9,offline,24,2,AI,3,GAME DEVELOPMENT
152,50,LEGO Robotics,Saudi Arabia,direct call,Male,8,hybrid,48,3,Robotics Innovative Learning,5,GAME DEVELOPMENT
153,51,Graphic Designing & Animation,Srilanka,AL mawakeb school,Female,10,offline,24,2,Game Development,5,STEM
154,52,Young App Developer,New Zealand,Merryland International School,Male,10,online,48,3,Technology Innovative Learning,5,ROBOTICS
155,52,VEX Robotics,United States,The university of texas at arlington,Male,10,offline,24,2,AI,4,ROBOTICS
156,52,Microsoft Arcade,Switzerland,Kings College Doha,Female,10,online,96,4,AI,5,ROBOTICS
157,52,Young Entrepreneur,Poland,Kido,Male,10,offline,24,2,Graphics Designing,4,ROBOTICS
158,52,Young Web Developer,Cameroon,Cardiff international school / Qatar Finland I fee atop all school,Male,6,online,8,1,Graphics Designing,4,ROBOTICS
159,53,Young Product Designer,Syria,GEMS,Female,7,offline,48,3,Robotics Innovative Learning,3,ROBOTICS
160,53,HTML Programming,Iraq,gems our own english high school,Male,10,offline,48,3,Robotics Innovative Learning,3,ROBOTICS
161,53,Tech Innovator,Bahrain,Dubai International Academy,Female,10,online,8,1,AI,4,ROBOTICS
162,53,Young Game Developer,Ireland,DPS,Male,9,offline,48,3,Coding for kids,5,ROBOTICS
163,54,Young Honcho,Bahrain,Nadeen International,Female,10,online,24,2,AI,3,GAME DEVELOPMENT
164,54,HTML Programming,Taiwan,Al majd international school,Female,10,hybrid,48,3,App Development,1,GAME DEVELOPMENT
165,54,Game Development - Microsoft Arcade,Uruguay,International Islamic School,Female,10,hybrid,8,1,Python,5,GAME DEVELOPMENT
166,54,Metaverse,Egypt,OOB sharjah,Female,10,offline,48,3,App Development,3,GAME DEVELOPMENT
167,55,Space STEM,Srilanka,Chinese school Dubai,Male,10,online,48,3,App Development,1,UNIQUE COURSES
168,56,3D Designing,Singapore,"GEMS Cambridge School, Sharjah",Male,10,online,24,2,Game Development,1,ARTIFICIAL INTELLIGENCE
169,56,STEM Jr,Switzerland,Horizon International School - LLC,Female,10,offline,8,1,Game Development,5,ARTIFICIAL INTELLIGENCE
170,57,Artificial Intelligence for Non Programmers,Palestine,GEMS Wellington Academy,Female,10,online,8,1,Graphics Designing,5,DESIGNING AND ANIMATION
171,57,Young Designer,Korea,School Inb Al Haitham government school,Female,10,offline,24,2,Technology Innovative Learning,4,DESIGNING AND ANIMATION
172,57,Virtual Robotics,Poland,Hartland International School,Male,10,hybrid,96,4,Python,4,DESIGNING AND ANIMATION
173,57,3D Designing,New Zealand,St marys icse,Female,10,online,48,3,AI,4,DESIGNING AND ANIMATION
174,58,Robotics,Uruguay,GEHS,Female,10,online,24,2,App Development,3,DESIGNING AND ANIMATION
175,58,Metaverse,Poland,Lusk Community College,Male,10,offline,24,2,Game Development,1,DESIGNING AND ANIMATION
176,58,Young Coder,United Arab Emirates,IIS,Female,10,hybrid,96,4,App Development,4,DESIGNING AND ANIMATION
177,59,Young Honcho,Taiwan,Lotus Valley School Gurgaon,Male,10,online,48,3,AI,3,ARTIFICIAL INTELLIGENCE
178,59,Technology Innovative Learning,Ukraine,The Alpha School LLC,Female,10,offline,8,1,Robotics Innovative Learning,4,ARTIFICIAL INTELLIGENCE
179,60,App Development,Ireland,Arcadia High School,Male,10,offline,24,2,3D Designing,5,ROBOTICS
180,60,Artificial Intelligence for Non Programmers,UAE,Bahrain Indian School,Male,10,hybrid,8,1,App Development,3,ROBOTICS
181,60,Tech Innovator,Cameroon,Al majd international school,Male,10,online,48,3,Robotics Innovative Learning,4,ROBOTICS
182,60,Microsoft Arcade,United Kingdom,Gravi,Female,10,hybrid,48,3,AI,5,ROBOTICS
183,61,Robotics,Afghanistan,Jumeirah English Speaking School,Female,10,hybrid,48,3,Game Development,1,STEM
184,62,C++ Programming,UAE,Shaufa International School,Male,11,online,8,1,Graphics Designing,4,STEM
185,62,Coding For KidsCoding for kids,Switzerland,GEMOOSH,Female,10,offline,48,3,Game Development,5,STEM
186,62,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Bosnia and Herzegovina,Repton Dubai,Female,9,offline,48,3,Robotics Innovative Learning,4,STEM
187,63,Public Speaking & Entrepreneurship,USA,Repton Dubai,Male,8,hybrid,24,2,App Development,5,ARTIFICIAL INTELLIGENCE
188,63,Young Game Developer,Poland,"NES International school, mulund west",Female,10,online,96,4,App Development,5,ARTIFICIAL INTELLIGENCE
189,64,Programming & Coding - Python/JAVA/HTML/C/C++,United Kingdom,Millennium School SHJ,Female,10,offline,8,1,Coding for kids,4,UNIQUE COURSES
190,64,Artificial Intelligence,Ireland,British school of Bahrain,Male,10,online,48,3,Robotics Innovative Learning,4,UNIQUE COURSES
191,64,Young Honcho,Iran,Not Specified,Female,10,hybrid,8,1,Technology Innovative Learning,5,UNIQUE COURSES
192,64,Drone Technology & Aerodynamics,Canada,Nadeen International school,Female,10,offline,48,3,App Development,1,UNIQUE COURSES
193,64,Data Analysis with PythonData Science,Kuwait,Cbsd,Male,10,offline,24,2,Coding for kids,4,UNIQUE COURSES
194,65,Young Honcho,Bosnia and Herzegovina,Mesty Croft Primary,Female,10,offline,48,3,Graphics Designing,4,UNIQUE COURSES
195,66,Microsoft Arcade,Palestine,Global Indian International School L.L.C,Female,10,offline,24,2,AI,5,GAME DEVELOPMENT
196,66,Artificial Intelligence,Russia,Dubai Scholars Private School,Male,10,hybrid,96,4,Game Development,5,GAME DEVELOPMENT
197,66,Virtual Robotics,Iran,Al Eman Educational Est ( Al Eman private School ),Female,10,hybrid,8,1,Game Development,4,GAME DEVELOPMENT
198,66,Public Speaking & Entrepreneurship,United States,"Indian Embassy School, Riyadh",Male,10,hybrid,48,3,Graphics Designing,4,GAME DEVELOPMENT
199,66,Artificial Intelligence & Machine Learning,United Arab Emirates,Al Naseem International School,Male,10,hybrid,48,3,Robotics Innovative Learning,4,GAME DEVELOPMENT
200,67,3D Designing & Modelling,Oman,ISGi,Male,10,offline,24,2,Graphics Designing,4,DESIGNING AND ANIMATION
201,67,Metaverse,UAE,Bahrain Indian School,Male,10,hybrid,48,3,AI,4,DESIGNING AND ANIMATION
202,67,Young Honcho,Egypt,other,Male,10,offline,48,3,AI,4,DESIGNING AND ANIMATION
203,67,Young Innovator,Srilanka,International school of Choueifat,Male,10,hybrid,48,3,AI,4,DESIGNING AND ANIMATION
204,67,Design Thinking and Entrepreneur Program,Oman,The Kindergarten Starters,Female,10,online,8,1,Technology Innovative Learning,3,DESIGNING AND ANIMATION
205,68,STEM Sr,Malaysia,GEMS United School,Male,10,offline,24,2,Robotics Innovative Learning,3,CODING
206,68,Virtual Robotics,Srilanka,Not Specified,Female,10,hybrid,8,1,3D Designing,4,CODING
207,69,Arduino,United States,MSB Private School,Male,10,offline,24,2,AI,3,STEM
208,70,Tech Innovator,United Kingdom,GEMS Millenium School,Male,10,hybrid,48,3,AI,4,ROBOTICS
209,70,Virtual Robotics,Syria,Oberoi International School,Male,10,online,48,3,Python,5,ROBOTICS
210,71,3D Designing and PrintingApp Design and Development,Nigeria,Al Salam Private School,Female,10,offline,24,2,Robotics Innovative Learning,3,STEM
211,71,Python Programming,Switzerland,GEMS,Female,10,hybrid,48,3,Python,3,STEM
212,72,Game and App Development,Oman,American International School,Female,10,offline,24,2,Robotics Innovative Learning,3,ELECTRONICS
213,72,HTML Programming,Cameroon,Al Ashbal Intl School,Female,10,offline,48,3,Robotics Innovative Learning,1,ELECTRONICS
214,72,Artificial Intelligence,Ireland,GEMS Our Own English High School,Female,10,online,24,2,Python,1,ELECTRONICS
215,73,Artificial Intelligence & Machine Learning,Ukraine,Gravi,Female,9,offline,24,2,Graphics Designing,1,ELECTRONICS
216,73,3D Designing and PrintingApp Design and Development,Nigeria,Ils,Female,10,online,48,3,Graphics Designing,4,ELECTRONICS
217,74,Virtual Robotics,Cameroon,Habitat School,Female,10,online,8,1,AI,4,ARTIFICIAL INTELLIGENCE
218,74,Python Programming,United Arab Emirates,Raha international school,Female,10,online,24,2,Robotics Innovative Learning,5,ARTIFICIAL INTELLIGENCE
219,74,C++ Programming,Cook Islands,Private,Female,12,online,24,2,Technology Innovative Learning,5,ARTIFICIAL INTELLIGENCE
220,75,Young Entrepreneur,Cook Islands,SJCK Sin Ming,Male,10,online,24,2,Python,4,DESIGNING AND ANIMATION
221,75,Game and App Development,Ukraine,Al Arqm Private School,Female,10,online,8,1,3D Designing,5,DESIGNING AND ANIMATION
222,75,Web Development,Pakistan,IIS,Female,10,online,24,2,App Development,4,DESIGNING AND ANIMATION
223,75,Space STEM,UAE,Gems Wellington Academy Silicon Oasis,Male,10,offline,8,1,Python,5,DESIGNING AND ANIMATION
224,76,Young Game Developer,Cook Islands,GHIS,Female,10,offline,48,3,AI,5,UNIQUE COURSES
225,76,App Development,United States,St marys icse,Male,10,hybrid,24,2,3D Designing,3,UNIQUE COURSES
226,76,Game and App Development,Malaysia,Father Agnel School,Female,10,offline,24,2,Graphics Designing,5,UNIQUE COURSES
227,76,Microsoft Arcade,UAE,KES,Male,10,offline,48,3,Python,4,UNIQUE COURSES
228,76,Metaverse,Nigeria,Father Agnel School,Female,10,hybrid,24,2,3D Designing,5,UNIQUE COURSES
