Student Name,Student_ID,Previous Course selected,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 34,18918,Game and App Development,Game and App Development,Malaysia,Manipal Academy of Higher Education,Male,10.0,online,48,Technology,3,Game Development,5
student 35,20400,Design Thinking and Entrepreneur Program,Artificial Intelligence for Non Programmers,USA,Repton SchoolGems Founders,Male,10.0,hybrid,24,Sports,2,App Development,5
student 36,25261,3D Designing & Modelling,Robotics,Venezuela,GEMS Winchester School,Male,7.0,hybrid,48,Science,3,AI,1
student 37,23768,Young Honcho,Robotics,India,Sacred heart school,Female,6.0,online,8,Art,1,AI,4
student 38,39107,C++ Programming,Python Programming,Ireland,Regent International Private School,Female,10.0,online,48,Science,3,Coding for kids,5
student 39,16315,Augmented & Virtual Reality,Artificial Intelligence,China,Oaktree Primary School,Female,10.0,offline,48,Sports,3,Graphics Designing,4
student 40,14120,Graphic Designing,Robotics,Uruguay,Cambridge International School Private,Male,10.0,hybrid,48,Mathematics,3,3D Designing,4
student 41,33894,Internet of Things,Game and App Development,Korea,GEMS Wellington International School,Female,10.0,online,48,Technology,3,Technology Innovative Learning,1
student 42,63066,Public Speaking & Entrepreneurship,LEGO Robotics,Cameroon,Dubai English Speaking School,Female,10.0,online,48,Mathematics,3,Coding for kids,3
student 43,62755,Graphic Designing,Robotics,Russia,Al Arqm Private School,Male,10.0,online,24,Sports,2,AI,5
student 44,46312,C++ Programming,Robotics,Bahrain,Gravi,Male,10.0,offline,48,Music,3,Graphics Designing,4
student 45,81232,Design Thinking and Entrepreneur Program,Space STEM,Uruguay,GEMS International School- Al Khail,Female,10.0,online,48,Mathematics,3,App Development,1
student 46,79120,3D Designing & Modelling,VEX Robotics,Armenia,Wesgreen International School,Male,10.0,hybrid,24,Sports,2,Robotics Innovative Learning,5
student 47,45801,3D Designing and Printing,Artificial Intelligence,UAE,GEMOOSH,Female,8.0,offline,48,Music,3,AI,1
student 48,27377,Young Web Developer,Technology Innovative Learning,Srilanka,MAHE Dubai,Female,10.0,offline,24,Science,2,App Development,5
student 49,68613,Scratch Coding,Python Programming,Ireland,"Amity School, Sharjah",Female,10.0,hybrid,96,Mathematics,4,AI,4
student 50,84546,HTML Programming,Young App Developer,Palestine,Sharjah Private International School,Male,10.0,offline,96,Music,4,3D Designing,4
student 51,76860,STEM Sr,Game and App Development,Uruguay,GEMS Winchester School,Male,8.0,hybrid,24,Sports,2,App Development,4
student 52,33253,Game Development - Microsoft Arcade,Scratch Coding,Pakistan,Carmel School Kuwait,Female,10.0,offline,8,Art,1,Python,1
student 53,95127,Data Analysis with Python,Data Analysis with Python,India,Ambassador International Academy,Male,10.0,offline,8,Art,1,Coding for kids,5
student 54,88905,Artificial Intelligence of Things (AIoT),Game Development with Unity,Ireland,"GD Goenka Public School, Agra, India",Female,10.0,hybrid,96,Science,4,Python,5
student 55,62480,Game Development,Python Programming,Malaysia,Al Manar International school,Male,10.0,offline,24,Sports,2,AI,5
student 56,82538,Arduino,3D Designing & Modelling,IndiaSpain,University of Wollongong,Male,10.0,hybrid,48,Sports,3,Game Development,5
student 57,29924,Virtual Robotics & Mechatronics,3D Designing & Modelling,Armenia,Victory Heights Primary School,Male,10.0,offline,48,Science,3,3D Designing,4
student 58,63028,Metaverse,Python Programming,Poland,Dubai English Speaking private college,Male,10.0,offline,24,Mathematics,2,AI,1
student 59,13848,HTML Programming,Robotics,Turkey,Mayoor Private school  abudhabi,Male,10.0,online,24,Technology,2,Technology Innovative Learning,5
student 60,86848,VEX Robotics,Technology Innovative Learning,Bosnia and Herzegovina,Jumeirah English Speaking School (Br),Female,10.0,online,24,Science,2,3D Designing,4
student 61,69878,Young Coder,Metaverse,Korea,Al Watania,Female,10.0,hybrid,96,Art,4,App Development,4
student 62,54292,Young Innovator,Technology Innovative Learning,India,Cambridge International School Private,Female,10.0,hybrid,96,Science,4,Technology Innovative Learning,5
student 63,81170,Young Designer,Game and App Development,Saudi Arabia,Apple International School,Male,8.0,hybrid,24,Sports,2,Technology Innovative Learning,5
student 64,12769,Artificial Intelligence for Non Programmers,Graphic Designing & Animation,Poland,Advanced Learning Schools Riyadh,Female,10.0,offline,24,Music,2,Python,5
student 65,43863,App Design and Development,Technology Innovative Learning,USA,International school of Choueifat,Male,8.0,online,96,Sports,4,Game Development,3
student 66,28010,Young Coder,Technology Innovative Learning,Armenia,BISES,Male,10.0,offline,96,Science,4,AI,5
student 67,83035,Web Development,Robotics,Iran (Islamic Republic of),Al Naseem International School,Female,8.0,offline,24,Sports,2,Coding for kids,3
student 68,93175,Young Innovator,Metaverse,Srilanka,GEMS Wellington International School,Female,10.0,online,48,Technology,3,3D Designing,3
student 69,70611,Young Game Developer,Robotics,Canada,Belvedere British School,Female,10.0,offline,96,Art,4,Technology Innovative Learning,4
student 70,92274,Young Designer,Robotics,India,Manipal Academy of Higher Education,Female,10.0,online,48,Science,3,Coding for kids,4
student 71,83652,C++ Programming,Robotics,Singapore,Al Basateen Private Nursery Hatta branch,Female,10.0,online,48,Science,3,Game Development,5
student 72,64587,LEGO Robotics,Robotics,Pakistan,Alhussan International School,Female,10.0,hybrid,96,Technology,4,AI,5
student 73,42902,STEM Sr,Artificial Intelligence,Egypt,Akg public school,Male,10.0,online,48,Music,3,Game Development,4
student 74,91833,STEM Jr,Artificial Intelligence,Uganda,DAA,Male,10.0,online,48,Mathematics,3,AI,4
student 75,35707,App Development,Artificial Intelligence,Cook Islands,GEMS Wellington Academy,Female,10.0,hybrid,48,Music,3,Graphics Designing,1
student 76,45625,Artificial Intelligence for Non Programmers,LEGO Robotics,Bosnia and Herzegovina,Ambersrdm,Female,10.0,online,48,Sports,3,AI,5
student 77,58759,JAVA,Space STEM,Nigeria,Crescent English School,Male,10.0,offline,8,Technology,1,AI,5
student 78,31899,STEM Jr,Robotics,China,"DPS, Doha",Female,10.0,online,48,Art,3,Robotics Innovative Learning,4
student 79,60988,VEX Robotics,Python Programming,Nigeria,Millennium Sharjah,Female,10.0,offline,48,Music,3,Robotics Innovative Learning,3
student 80,55666,Space STEM,Python Programming,Nigeria,"Camp, Amity ( Al Nadha)",Female,10.0,offline,48,Sports,3,Coding for kids,5
student 81,98794,Young Product Designer,Game and App Development,China,Al Khaleej National School,Female,8.0,offline,96,Sports,4,3D Designing,3
student 82,41343,Drone Technology,Python Programming,Cuba,Primus Private School LLC,Male,10.0,hybrid,8,Mathematics,1,Graphics Designing,5
student 83,71567,Electronics Program,Artificial Intelligence,Canada,Al Maaref Private School (LLC),Female,10.0,online,48,Mathematics,3,AI,4
student 84,30074,Young Web Developer,Artificial Intelligence,Cameroon,Cardiff international school / Qatar Finland I fee atop all school,Male,9.0,hybrid,48,Science,3,Graphics Designing,1
student 85,19116,French Language Course,Python Programming,Iraq,Al majd international school,Male,10.0,hybrid,24,Science,2,AI,4
student 86,18537,Artificial Intelligence & Machine Learning,Robotics,Switzerland,Merryland International School,Female,10.0,online,24,Technology,2,Technology Innovative Learning,5
student 87,38717,Artificial Intelligence for Non Programmers,Robotics,Srilanka,Regent International Private School,Female,10.0,offline,96,Sports,4,Technology Innovative Learning,1
student 88,78385,3D Designing & Modelling,Python Programming,Iran (Islamic Republic of),Ambassador International Academy,Female,10.0,hybrid,48,Science,3,Robotics Innovative Learning,1
student 89,46091,Game Development,Python Programming,India,DPS,Female,10.0,online,8,Mathematics,1,Graphics Designing,3
student 90,17047,Young App Developer,Robotics,Switzerland,GEMS Wellington Academy (Branch),Female,10.0,offline,96,Sports,4,Game Development,1
student 91,71709,Young Entrepreneur,3D Designing & Modelling,USA,Carmel School Kuwait,Female,10.0,hybrid,48,Music,3,Robotics Innovative Learning,5
student 92,88390,Python Programming,Metaverse,Egypt,Ow qusm high school,Male,9.0,online,24,Mathematics,2,3D Designing,1
student 93,38938,Artificial Intelligence of Things (AIoT),Python Programming,Qatar,Al Adab Iranian Private School for Boys,Female,10.0,offline,48,Science,3,AI,1
student 94,46011,STEM Sr,Graphic Designing,Saudi Arabia,Al Manar International school,Male,10.0,online,48,Technology,3,AI,5
student 95,28986,Game and App Development,Graphic Designing & Animation,United Arab Emirates,Saad ebn abi waqas,Male,10.0,offline,24,Sports,2,Robotics Innovative Learning,3
student 96,38880,Data Analysis with Python,Game and App Development,India,JSS PRIVATE SCHOOL LLC,Male,8.0,offline,24,Art,2,Technology Innovative Learning,1
student 97,76890,Virtual Robotics,Young Coder,Cuba,LLfp,Female,10.0,hybrid,8,Music,1,AI,4
student 98,48134,Drone Technology,Robotics,Iran (Islamic Republic of),Khawla bent al azwar,Male,8.0,hybrid,8,Art,1,Game Development,1
student 99,64214,Space STEM,Robotics,Oman,Arcadia School,Male,10.0,online,24,Art,2,Robotics Innovative Learning,4
student 100,66139,Young Web Developer,Robotics,India,Al Ain English Speaking School,Male,8.0,hybrid,8,Music,1,AI,4
student 101,20032,Electronics Program,Young Game Developer,United Arab Emirates,Dubai College,Male,10.0,offline,48,Music,3,App Development,3
student 102,56026,Internet of Things,Robotics,United Arab Emirates,Al Adab Iranian Private School for Boys,Female,9.0,online,48,Technology,3,Robotics Innovative Learning,4
student 103,32745,Internet of Things,Graphic Designing,Armenia,Dubai Scholars Private School,Male,10.0,online,24,Technology,2,Robotics Innovative Learning,3
student 104,46563,Space STEM,Python Programming,Cuba,GEMS Westminster,Female,10.0,offline,48,Technology,3,Graphics Designing,4
student 105,60938,Python Programming,Technology Innovative Learning,India,Al Diyafah High School,Male,10.0,online,48,Sports,3,Python,4
student 106,55147,Space STEM,Artificial Intelligence,United Arab Emirates,Dubai Scholars Private School,Female,8.0,hybrid,48,Science,3,App Development,4
student 107,80922,Game Development with Unity,Python Programming,Canada,ST laurence school Sallins,Female,10.0,online,48,Mathematics,3,AI,1
student 108,72923,C++ Programming,Game and App Development,India,GEMS Wellington Academy,Female,8.0,online,96,Technology,4,3D Designing,4
student 109,34205,Artificial Intelligence & Machine Learning,Robotics,IndiaSpain,Al Diyafah High School,Male,8.0,online,48,Sports,3,Technology Innovative Learning,4
student 110,73096,App Development,Artificial Intelligence for Non Programmers,Pakistan,MAHE Dubai,Female,10.0,offline,24,Sports,2,Game Development,5
student 111,47323,Graphic Designing & Animation,Space STEM,United Arab Emirates,Apeejay school,Male,8.0,online,48,Science,3,AI,4
student 112,30455,App Design and Development,Robotics,Korea,GEMS,Female,9.0,online,24,Sports,2,3D Designing,1
student 113,79462,Young Game Developer,Artificial Intelligence for Non Programmers,Iraq,Ambassador International Academy,Female,10.0,hybrid,48,Science,3,AI,3
student 114,70606,Data Analysis with Python,STEM Jr,Pakistan,JSS PRIVATE SCHOOL,Male,10.0,offline,48,Technology,3,3D Designing,1
student 115,59981,Young Product Designer,Data Science,Malaysia,Arcadia School,Male,8.0,hybrid,8,Sports,1,Graphics Designing,4
student 116,76066,Data Analysis with Python,Data Science,Armenia,Arcadia School,Male,8.0,hybrid,48,Music,3,App Development,4
student 117,96387,Game and App Development,Data Science,United Kingdom,Arcadia School,Male,6.0,online,24,Sports,2,Technology Innovative Learning,4
student 119,90473,LEGO Robotics,Robotics,United Arab Emirates,Gulf Asian English school,Male,9.0,hybrid,24,Science,2,Game Development,3
student 120,10463,Game and App Development,Data Science,Pakistan,Arcadia School,Female,8.0,hybrid,48,Art,3,AI,1
student 121,36086,Drone Technology & Aerodynamics,Data Science,Uruguay,Arcadia School,Female,8.0,online,48,Music,3,Graphics Designing,4
student 122,82080,Virtual Robotics & Mechatronics,Data Science,Afghanistan,Arcadia School,Female,8.0,offline,24,Art,2,Coding for kids,3
student 123,41721,Scratch Coding,Data Science,Qatar,Arcadia School,Female,8.0,online,24,Music,2,Game Development,1
student 124,29551,Game Development,Data Science,Pakistan,Arcadia School,Female,8.0,offline,24,Technology,2,Robotics Innovative Learning,1
student 125,22432,LEGO Robotics,Data Science,Nigeria,Arcadia School,Female,8.0,hybrid,24,Music,2,Python,3
student 126,99262,Young Innovator,Data Science,United Kingdom,Arcadia School,Female,8.0,online,96,Mathematics,4,Python,1
student 128,76094,3D Designing & Modelling,Data Science,Korea,Arcadia School,Female,8.0,online,48,Music,3,3D Designing,3
student 129,55952,Artificial Intelligence,Data Science,Bahrain,Arcadia School,Female,8.0,offline,24,Mathematics,2,Technology Innovative Learning,4
student 130,65764,App Design and Development,Data Science,Canada,Arcadia School,Female,8.0,online,48,Mathematics,3,Graphics Designing,4
student 131,20092,French Language Course,Robotics,United Arab Emirates,Emirates International School (Meadows),Male,8.0,online,48,Science,3,Game Development,4
student 132,56857,Scratch Coding,Python Programming,United Arab Emirates,Dubai International Academy,Female,9.0,online,24,Science,2,Python,4
student 133,71322,Game Development,Data Science,United Arab Emirates,Suncity school,Female,9.0,online,48,Art,3,Coding for kids,5
student 134,59056,Metaverse,Python Programming,United Arab Emirates,Gems Wellington Academy Silicon Oasis,Male,9.0,offline,48,Technology,3,Graphics Designing,4
student 135,30337,HTML Programming,Space STEM,Canada,Al Ansar International School,Female,10.0,hybrid,96,Music,4,Graphics Designing,5
student 136,67136,Virtual Robotics,Robotics,United Arab Emirates,JSS PRIVATE SCHOOL,Female,9.0,hybrid,48,Technology,3,Coding for kids,4
student 138,23205,Young Product Designer,Robotics,Jordan,GEMS United School,Male,10.0,online,48,Mathematics,3,AI,4
student 139,33021,Young Product Designer,Artificial Intelligence,Srilanka,"Millennium School, Shj",Male,10.0,hybrid,8,Sports,1,Robotics Innovative Learning,4
student 140,97385,Young Web Developer,Graphic Designing,Canada,Cambridge International School Private,Female,10.0,offline,48,Mathematics,3,3D Designing,1
student 141,11724,Artificial Intelligence for Non Programmers,Graphic Designing,India,Indian High School,Male,10.0,offline,48,Music,3,AI,1
student 142,53402,3D Designing & Modelling,Graphic Designing,United Arab Emirates,"GEMS Cambridge School, Sharjah",Female,9.0,hybrid,48,Mathematics,3,AI,5
student 143,36260,Artificial Intelligence for Non Programmers,Graphic Designing,United Arab Emirates,"GEMS Cambridge School, Sharjah",Female,8.0,hybrid,24,Science,2,Technology Innovative Learning,4
student 144,66130,App Design and Development,LEGO Robotics,United Arab Emirates,Private,Male,10.0,offline,48,Science,3,Game Development,3
student 145,40530,Game Development - Block-Based,Python Programming,Venezuela,Father Agnel School,Female,10.0,online,48,Music,3,AI,3
student 146,89375,3D Designing,Python Programming,Oman,Reach British School,Male,10.0,online,48,Technology,3,Game Development,5
student 147,78893,Space STEM,Technology Innovative Learning,Turkey,Summit International School,Female,8.0,hybrid,48,Technology,3,AI,4
student 148,98971,Drone Technology,Artificial Intelligence,Venezuela,AL mawakeb school,Male,10.0,online,96,Technology,4,Coding for kids,3
student 149,48516,C++ Programming,Drone Technology,Korea,Al Ain English Speaking School,Female,10.0,hybrid,48,Science,3,AI,4
student 150,81702,Graphic Designing & Animation,HTML Programming,Nigeria,Vibgyor,Male,10.0,online,24,Art,2,Python,4
student 151,20500,App Development,Robotics,Kuwait,Dubai Scholars Private School,Male,10.0,offline,96,Music,4,App Development,5
student 152,38289,Graphic Designing & Animation,Python Programming,Palestine,Army Public School,Female,10.0,hybrid,24,Art,2,Python,5
student 153,28368,Game Development with Unity,C Programming,Iraq,Shaufa International School,Female,7.0,hybrid,24,Sports,2,3D Designing,1
student 154,47157,Young Game Developer,Robotics,Cameroon,Raffles World Academy,Male,10.0,online,48,Technology,3,App Development,1
student 155,81116,Artificial Intelligence of Things (AIoT),Robotics,United Arab Emirates,Diyafah International School Abu Dhabi,Male,9.0,offline,48,Technology,3,Graphics Designing,4
student 156,53179,Young App Developer,Drone Technology,Uganda,Al Basateen Private Nursery Hatta branch,Male,10.0,offline,48,Mathematics,3,AI,3
student 157,24027,Augmented & Virtual Reality,Robotics,Oman,GEMS Millennium Sharjah,Male,10.0,online,48,Mathematics,3,Coding for kids,4
student 158,87999,Young Entrepreneur,Technology Innovative Learning,United Arab Emirates,Sharjah Indian school,Female,10.0,online,24,Art,2,Python,1
student 159,49514,Robotics,3D Designing & Modelling,Kuwait,Cambridge International School,Male,10.0,hybrid,48,Science,3,Graphics Designing,5
student 160,62631,Arduino,Technology Innovative Learning,India,direct call,Male,9.0,offline,24,Music,2,AI,3
student 161,50005,Artificial Intelligence & Machine Learning,Technology Innovative Learning,China,direct call,Male,8.0,hybrid,48,Science,3,Robotics Innovative Learning,5
student 162,51949,Game Development - Block-Based,Artificial Intelligence & Machine Learning,Jordan,AL mawakeb school,Female,10.0,offline,24,Technology,2,Game Development,5
student 163,33911,Artificial Intelligence for Non Programmers,Robotics,Syria,Merryland International School,Female,10.0,online,48,Music,3,Technology Innovative Learning,5
student 164,18562,STEM Sr,Robotics,Russia,The university of texas at arlington,Male,10.0,offline,24,Mathematics,2,AI,4
student 165,38980,App Development,Robotics,Pakistan,Kings College Doha,Female,10.0,online,96,Art,4,AI,5
student 167,73297,Game and App Development,Robotics,United Arab Emirates,Kido,Female,10.0,offline,24,Art,2,Graphics Designing,4
student 168,58573,Young Product Designer,Python Programming,United Arab Emirates,Cardiff international school / Qatar Finland I fee atop all school,Male,6.0,online,8,Science,1,Graphics Designing,4
student 169,51516,VEX Robotics,Python Programming,United Kingdom,GEMS,Female,7.0,offline,48,Music,3,Robotics Innovative Learning,3
student 170,71892,Young Innovator,3D Designing & Modelling,UAE,gems our own english high school,Male,10.0,offline,48,Technology,3,Robotics Innovative Learning,3
student 171,17380,Game and App Development,Artificial Intelligence for Non Programmers,Nigeria,Dubai International Academy,Male,10.0,online,8,Science,1,AI,4
student 172,31450,Artificial Intelligence of Things (AIoT),Robotics,United Arab Emirates,DPS,Female,9.0,offline,48,Sports,3,Coding for kids,5
student 173,16207,Young Web Developer,Robotics,United States,Nadeen International,Male,10.0,online,24,Mathematics,2,AI,3
student 174,38629,HTML Programming,Robotics,Russia,Al majd international school,Female,10.0,hybrid,48,Art,3,App Development,1
student 175,73810,Young Product Designer,Robotics,India,International Islamic School,Female,10.0,hybrid,8,Sports,1,Python,5
student 176,47435,Web Development,3D Designing,Afghanistan,OOB sharjah,Female,10.0,offline,48,Sports,3,App Development,3
student 177,23697,Web Development,Artificial Intelligence,United States,Chinese school Dubai,Male,10.0,online,48,Music,3,App Development,1
student 178,11224,Young Coder,Robotics,Armenia,"GEMS Cambridge School, Sharjah",Male,10.0,online,24,Mathematics,2,Game Development,1
student 179,20701,JAVA,Robotics,Bahrain,Horizon International School - LLC,Female,10.0,offline,8,Science,1,Game Development,5
student 180,24769,App Development,Python Programming,Cuba,GEMS Wellington Academy,Male,10.0,online,8,Technology,1,Graphics Designing,5
student 181,17172,Game Development,Robotics,India,School Inb Al Haitham government school,Male,10.0,offline,24,Sports,2,Technology Innovative Learning,4
student 182,88798,LEGO Robotics,Space STEM,Bahrain,Hartland International School,Female,10.0,hybrid,96,Mathematics,4,Python,4
student 183,46673,Graphic Designing,Python Programming,Canada,St marys icse,Male,10.0,online,48,Sports,3,AI,4
student 184,99194,Young Game Developer,C Programming,China,GEHS,Female,10.0,online,24,Mathematics,2,App Development,3
student 185,63094,Young Honcho,Robotics,Qatar,Lusk Community College,Female,10.0,offline,24,Mathematics,2,Game Development,1
student 186,73806,Electronics Program,Artificial Intelligence for Non Programmers,United Arab Emirates,IIS,Female,10.0,hybrid,96,Technology,4,App Development,4
student 187,58521,Game Development with Unity,Space STEM,China,Lotus Valley School Gurgaon,Male,10.0,online,48,Science,3,AI,3
student 188,38193,Virtual Robotics,Technology Innovative Learning,Cook Islands,The Alpha School LLC,Male,10.0,offline,8,Mathematics,1,Robotics Innovative Learning,4
student 189,73046,French Language Course,Graphic Designing,Ukraine,Arcadia High School,Female,10.0,offline,24,Sports,2,3D Designing,5
student 190,45419,Artificial Intelligence for Non Programmers,Robotics,Canada,Bahrain Indian School,Female,10.0,hybrid,8,Science,1,App Development,3
student 191,62202,Metaverse,Robotics,Iraq,Al majd international school,Male,10.0,online,48,Music,3,Robotics Innovative Learning,4
student 192,47077,Young Designer,HTML Programming,Cameroon,Gravi,Male,10.0,hybrid,48,Science,3,AI,5
student 193,23218,Virtual Robotics,Technology Innovative Learning,United Arab Emirates,Jumeirah English Speaking School,Male,10.0,hybrid,48,Science,3,Game Development,1
student 194,68553,Robotics,Python Programming,Canada,Shaufa International School,Male,11.0,online,8,Science,1,Graphics Designing,4
student 195,83044,Young Data Scientist,Robotics,Switzerland,GEMOOSH,Male,10.0,offline,48,Technology,3,Game Development,5
student 196,43409,Young Data Scientist,Technology Innovative Learning,India,Repton Dubai,Female,9.0,offline,48,Technology,3,Robotics Innovative Learning,4
student 197,39442,Artificial Intelligence of Things (AIoT),Technology Innovative Learning,India,Repton Dubai,Female,8.0,hybrid,24,Mathematics,2,App Development,5
student 198,89790,Young Coder,Robotics,Cameroon,"NES International school, mulund west",Male,10.0,online,96,Art,4,App Development,5
student 199,68384,Young Product Designer,Robotics,Canada,Millennium School SHJ,Male,10.0,offline,8,Music,1,Coding for kids,4
student 201,78431,Electronics Program,Graphic Designing,Kuwait,British school of Bahrain,Male,10.0,online,48,Sports,3,Robotics Innovative Learning,4
student 202,22509,Young Innovator,Internet of Things,Oman,Not Specified,Female,10.0,hybrid,8,Music,1,Technology Innovative Learning,5
student 204,76885,Artificial Intelligence & Machine Learning,LEGO Robotics,Kuwait,Nadeen International school,Female,10.0,offline,48,Technology,3,App Development,1
student 205,45687,Game Development with Unity,Graphic Designing,Singapore,Cbsd,Male,10.0,offline,24,Music,2,Coding for kids,4
student 206,63511,Virtual Robotics & Mechatronics,Graphic Designing,United Kingdom,Mesty Croft Primary,Female,10.0,offline,48,Mathematics,3,Graphics Designing,4
student 207,96374,Data Analysis with Python,Graphic Designing,Saudi Arabia,Global Indian International School L.L.C,Male,10.0,offline,24,Art,2,AI,5
student 208,33587,VEX Robotics,Robotics,Kuwait,Dubai Scholars Private School,Male,10.0,hybrid,96,Sports,4,Game Development,5
student 209,50821,Data Science,Robotics,Palestine,Al Eman Educational Est ( Al Eman private School ),Female,10.0,hybrid,8,Mathematics,1,Game Development,4
student 210,21218,Public Speaking & Entrepreneurship,Graphic Designing,Pakistan,"Indian Embassy School, Riyadh",Female,10.0,hybrid,48,Science,3,Graphics Designing,4
student 211,69448,Artificial Intelligence for Non Programmers,Graphic Designing,United Arab Emirates,Al Naseem International School,Male,10.0,hybrid,48,Mathematics,3,Robotics Innovative Learning,4
student 212,99599,Robotics,Graphic Designing,United States,ISGi,Male,10.0,offline,24,Sports,2,Graphics Designing,4
student 213,20277,Young Product Designer,Graphic Designing,Cook Islands,Bahrain Indian School,Female,10.0,hybrid,48,Art,3,AI,4
student 214,50672,Data Science,Artificial Intelligence,United States,other,Male,10.0,offline,48,Science,3,AI,4
student 215,89485,C++ Programming,Graphic Designing,Oman,International school of Choueifat,Female,10.0,hybrid,48,Science,3,AI,4
student 216,16233,3D Designing and Printing,Graphic Designing,Russia,The Kindergarten Starters,Female,10.0,online,8,Technology,1,Technology Innovative Learning,3
student 217,49116,Young App Developer,Graphic Designing,Egypt,GEMS United School,Female,10.0,offline,24,Technology,2,Robotics Innovative Learning,3
student 218,29332,Internet of Things,Graphic Designing,Cook Islands,Not Specified,Female,10.0,hybrid,8,Sports,1,3D Designing,4
student 219,75571,Young Innovator,Space STEM,USA,MSB Private School,Male,10.0,offline,24,Music,2,AI,3
student 220,35785,Virtual Robotics & Mechatronics,Graphic Designing,Iraq,GEMS Millenium School,Female,10.0,hybrid,48,Science,3,AI,4
student 221,34923,3D Designing and Printing,Graphic Designing,Iraq,Oberoi International School,Female,10.0,online,48,Mathematics,3,Python,5
student 222,95176,Graphic Designing,Graphic Designing,United Arab Emirates,Al Salam Private School,Female,10.0,offline,24,Sports,2,Robotics Innovative Learning,3
student 223,73946,Space STEM,Graphic Designing,Srilanka,GEMS,Male,10.0,hybrid,48,Music,3,Python,3
student 224,70672,Graphic Designing,Python Programming,Canada,American International School,Male,10.0,offline,24,Mathematics,2,Robotics Innovative Learning,3
student 225,17179,Data Science,Graphic Designing & Animation,Uruguay,Al Ashbal Intl School,Female,10.0,offline,48,Mathematics,3,Robotics Innovative Learning,1
